OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
C-1,6.90512,0.03844,87.83895,9.37224,0.05242,0.99901
C-2,8.23736,0.04563,114.61896,10.70602,0.05948,0.99909
C-3,11.71499,0.06292,208.80959,14.45024,0.07788,0.99838
C-4,12.73486,0.06816,232.57355,15.25036,0.08151,0.99789
C-5,13.48199,0.06794,255.90942,15.99717,0.08045,0.99711
C-6,8.59828,0.04482,121.54087,11.02456,0.05741,0.99858
C-7,8.90629,0.04778,138.26344,11.75855,0.06288,0.99873
C-8,7.67311,0.04063,119.8312,10.94674,0.05773,0.99913
C-9,8.68053,0.04679,133.84068,11.56895,0.06226,0.9989
C-10,7.96176,0.04094,109.7556,10.47643,0.05395,0.99885
C-11,7.83898,0.04246,107.59122,10.37262,0.0561,0.99871
C-12,8.46018,0.04763,132.37622,11.50549,0.06464,0.99868
C-13,8.12017,0.04523,125.74805,11.21374,0.06267,0.99884
C-14,9.42564,0.0527,152.4152,12.34566,0.06903,0.99852
C-15,7.96913,0.04263,110.89858,10.53084,0.05643,0.9985
