OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
A-2,4.68778,0.01813,33.99596,5.83061,0.02256,0.99682
B-1,4.42516,0.01948,32.85407,5.73185,0.02526,0.99827
B-2,3.9992,0.01855,29.37457,5.41983,0.02517,0.99861
B-4,4.36764,0.01913,29.10376,5.39479,0.02364,0.998
B-5,6.0549,0.02772,53.82772,7.33674,0.0336,0.9969
B-7,4.11432,0.01807,25.94649,5.09377,0.02237,0.99825
B-8,3.57488,0.01689,21.83184,4.67246,0.02211,0.99872
C-1,9.09861,0.05066,129.65735,11.38672,0.06349,0.99854
C-2,8.75456,0.04857,127.82691,11.30606,0.06284,0.99899
C-3,9.51979,0.05103,164.21979,12.81483,0.06867,0.99872
C-4,12.98264,0.06944,264.77527,16.27192,0.08681,0.9976
C-5,11.52529,0.05809,209.54823,14.47578,0.07285,0.99763
C-6,10.15126,0.05296,166.43227,12.90086,0.06726,0.99806
C-7,10.06211,0.05407,167.12106,12.92753,0.06944,0.99846
C-8,14.47037,0.07652,306.31287,17.5018,0.09242,0.99777
C-9,12.66091,0.06834,239.67114,15.48132,0.08365,0.99803
C-10,8.39286,0.04313,114.73653,10.71151,0.05513,0.9988
C-11,10.66497,0.05785,171.43312,13.09325,0.07103,0.99794
C-12,11.47341,0.06476,198.9323,14.10434,0.0797,0.99802
C-13,9.63464,0.05353,159.2905,12.62103,0.07022,0.99854
C-14,8.44322,0.04718,125.48994,11.20223,0.06269,0.99878
C-15,6.84985,0.03662,82.95142,9.10777,0.04879,0.99888
