AVG R2 SCORE: 0.8726728925350334, SYMBOLIC: 0.7718065987511445
AVG R2 SCORE: 0.9596318969928348, SYMBOLIC: 0.8371581864399598
AVG R2 SCORE: -4.838709806732142, SYMBOLIC: -4.831682625384761
AVG R2 SCORE: 0.6610320685912413, SYMBOLIC: 0.6593406924406674
AVG R2 SCORE: -0.9958868441732267, SYMBOLIC: -0.9094131240070584
AVG R2 SCORE: 0.5874880455002849, SYMBOLIC: 0.5455080535373888
AVG R2 SCORE: 0.9697797258097254, SYMBOLIC: 0.8360254266433531
AVG R2 SCORE: 0.8285814775744378, SYMBOLIC: 0.8086793248043236
AVG R2 SCORE: 0.9301134883453812, SYMBOLIC: 0.7580242438546241
AVG R2 SCORE: -3.4211838704988664, SYMBOLIC: NaN
AVG R2 SCORE: 0.9285008160307171, SYMBOLIC: 0.7680088706403448
AVG R2 SCORE: 0.9241341672556918, SYMBOLIC: 0.7703698434508637
AVG R2 SCORE: -3.0380479631210107, SYMBOLIC: NaN
AVG R2 SCORE: 0.9360520507162413, SYMBOLIC: 0.769752246399946
AVG R2 SCORE: -0.10401331734862143, SYMBOLIC: NaN
AVG R2 SCORE: 0.955531848251385, SYMBOLIC: 0.815999655507223
AVG R2 SCORE: 0.8395333738905478, SYMBOLIC: 0.68528831081306
AVG R2 SCORE: 0.9168028995578916, SYMBOLIC: 0.8004244915864979
AVG R2 SCORE: 0.9483600804584752, SYMBOLIC: 0.7525845277823965
AVG R2 SCORE: 0.01993813096881809, SYMBOLIC: 0.007143451588631988
AVG R2 SCORE: -11.954347897759146, SYMBOLIC: -1983.5441551786903
AVG R2 SCORE: 0.9140313423834341, SYMBOLIC: 0.8012399381910329
AVG R2 SCORE: 0.9293032454837806, SYMBOLIC: 0.7802341024723065
AVG R2 SCORE: 0.944797413808811, SYMBOLIC: 0.7744615654517014
AVG R2 SCORE: 0.9552429691217432, SYMBOLIC: 0.8049467944061796
AVG R2 SCORE: -3.921685618469386, SYMBOLIC: -3.8961563256898346
AVG R2 SCORE: 0.9618000166309942, SYMBOLIC: 0.7510178327063844
AVG R2 SCORE: -38.383382238142744, SYMBOLIC: -2.6919566502185885
AVG R2 SCORE: 0.9461988800059732, SYMBOLIC: 0.7946507791276277
AVG R2 SCORE: 0.46741821960762253, SYMBOLIC: 0.4425577678446328
AVG R2 SCORE: 0.9594137322954103, SYMBOLIC: 0.8418053593287445
AVG R2 SCORE: 0.9552354052074582, SYMBOLIC: 0.8454127534328801
AVG R2 SCORE: 0.9515910882749911, SYMBOLIC: 0.8360090412715865
AVG R2 SCORE: 0.9593946679936142, SYMBOLIC: 0.839999901399867
AVG R2 SCORE: 0.9520683404019833, SYMBOLIC: NaN
AVG R2 SCORE: 0.943819528030847, SYMBOLIC: 0.8554504833572437
AVG R2 SCORE: 0.9617339854726765, SYMBOLIC: 0.7663893579033157
AVG R2 SCORE: 0.9406023437936206, SYMBOLIC: 0.8942677670070998
AVG R2 SCORE: 0.870675703713038, SYMBOLIC: 0.8351335328244831
AVG R2 SCORE: 0.8512337656072851, SYMBOLIC: 0.8033477436037681
AVG R2 SCORE: 0.025065264295391153, SYMBOLIC: 0.024059682752165988
AVG R2 SCORE: 0.859161639929644, SYMBOLIC: 0.8479434581047205
AVG R2 SCORE: 0.9268686514921644, SYMBOLIC: 0.7772018138909709
AVG R2 SCORE: 0.9660659054411393, SYMBOLIC: 0.8296246917442345
AVG R2 SCORE: 0.024419631403631393, SYMBOLIC: 0.026419486727551744
AVG R2 SCORE: 0.9338649289209631, SYMBOLIC: 0.7784507431635534
AVG R2 SCORE: 0.9094590965821032, SYMBOLIC: 0.8274126756023588
AVG R2 SCORE: 0.9367547214304108, SYMBOLIC: 0.8130081633298893
AVG R2 SCORE: 0.9079737664120296, SYMBOLIC: 0.7775564598218928
AVG R2 SCORE: 0.9318096059374767, SYMBOLIC: 0.8002388053153131
AVG R2 SCORE: 0.9522156935045111, SYMBOLIC: 0.8130096196117902
AVG R2 SCORE: 0.643573925225381, SYMBOLIC: 0.6471534140975792
AVG R2 SCORE: 0.9437731578728108, SYMBOLIC: 0.8126692294480033
AVG R2 SCORE: 0.7561175362437562, SYMBOLIC: NaN
AVG R2 SCORE: 0.9002375587229873, SYMBOLIC: 0.8412784092885263
AVG R2 SCORE: 0.9228462513401988, SYMBOLIC: 0.7600839350138263
AVG R2 SCORE: -1.7711028218910136, SYMBOLIC: -1.6330765541554988
AVG R2 SCORE: 0.9356159598435367, SYMBOLIC: 0.811340535484978
AVG R2 SCORE: 0.9606944077309411, SYMBOLIC: 0.8018676107991094
AVG R2 SCORE: -89.61830450266899, SYMBOLIC: -0.40467144767542573
AVG R2 SCORE: 0.9317703380000866, SYMBOLIC: 0.7688211938236172
AVG R2 SCORE: 0.95197974016061, SYMBOLIC: 0.6422873975256687
AVG R2 SCORE: 0.9349829309266354, SYMBOLIC: 0.7926927915235501
AVG R2 SCORE: 0.9152488899581874, SYMBOLIC: 0.8171246004720425
AVG R2 SCORE: 0.8922618045542299, SYMBOLIC: 0.7981076592847086
AVG R2 SCORE: 0.9597718451255762, SYMBOLIC: 0.8206567842588932
AVG R2 SCORE: 0.9434332775198098, SYMBOLIC: 0.8393991440869453
AVG R2 SCORE: 0.9585321873182165, SYMBOLIC: 0.8197505666513034
AVG R2 SCORE: 0.9573525157773947, SYMBOLIC: 0.835268423893606
AVG R2 SCORE: 0.9667873729020394, SYMBOLIC: 0.8208707117975657
AVG R2 SCORE: 0.9450042286106413, SYMBOLIC: 0.8860444330305217
AVG R2 SCORE: 0.9486449455030875, SYMBOLIC: 0.84299942160713
AVG R2 SCORE: 0.9504903318703646, SYMBOLIC: 0.8925980452172559
AVG R2 SCORE: 0.9253276367132355, SYMBOLIC: NaN
AVG R2 SCORE: 0.9354822406966523, SYMBOLIC: 0.846949834800909
AVG R2 SCORE: 0.8449311319862554, SYMBOLIC: 0.19487559091296763
AVG R2 SCORE: 0.8734803670602256, SYMBOLIC: 0.7995584922528538
AVG R2 SCORE: 0.9327340698144562, SYMBOLIC: 0.855329822562954
AVG R2 SCORE: 0.9146510371172172, SYMBOLIC: 0.8313340889518889
AVG R2 SCORE: -0.04693499384520181, SYMBOLIC: -0.048882480504797376
AVG R2 SCORE: 0.9417846652608162, SYMBOLIC: 0.779326527755926
AVG R2 SCORE: 0.9227113937202163, SYMBOLIC: 0.7834575341351913
AVG R2 SCORE: 0.9319058080577116, SYMBOLIC: 0.8587817441106663
AVG R2 SCORE: 0.8869355980784809, SYMBOLIC: 0.7765913704471594
AVG R2 SCORE: 0.8974174955590675, SYMBOLIC: 0.7900721334423452
AVG R2 SCORE: 0.8859139713016886, SYMBOLIC: 0.818433275118782
AVG R2 SCORE: 0.8071614449145297, SYMBOLIC: 0.8011008854117974
AVG R2 SCORE: 0.8903778249008726, SYMBOLIC: 0.8199025388828259
AVG R2 SCORE: 0.965372352595631, SYMBOLIC: 0.823686028968087
AVG R2 SCORE: 0.9031164981865178, SYMBOLIC: 0.7078555555610476
AVG R2 SCORE: -1.5482568235585228, SYMBOLIC: -1.4365609873742131
AVG R2 SCORE: 0.9241512730737484, SYMBOLIC: 0.8022477451087917
AVG R2 SCORE: 0.9305274198567455, SYMBOLIC: 0.7973392562546379
AVG R2 SCORE: 0.8884843205195937, SYMBOLIC: 0.8019331019302165
AVG R2 SCORE: -0.34581971999769356, SYMBOLIC: -0.35304730516862726
AVG R2 SCORE: 0.961743687271207, SYMBOLIC: NaN
AVG R2 SCORE: 0.9549512151678172, SYMBOLIC: 0.7056593090244112
