AVG R2 SCORE: 0.9940810522128493, SYMBOLIC: 0.9895333473290943
AVG R2 SCORE: -0.22239002365377525, SYMBOLIC: -0.221326837474084
AVG R2 SCORE: 0.996617350254951, SYMBOLIC: 0.9921223903510503
AVG R2 SCORE: 0.9948610512889833, SYMBOLIC: 0.9941518556750468
AVG R2 SCORE: 0.9638560575656305, SYMBOLIC: 0.9074263029764372
AVG R2 SCORE: 0.9920544743129751, SYMBOLIC: 0.9923901682696805
AVG R2 SCORE: 0.9744148485849576, SYMBOLIC: 0.9772398543251768
AVG R2 SCORE: 0.9933528349591692, SYMBOLIC: 0.9942864184501405
AVG R2 SCORE: 0.9965894473560728, SYMBOLIC: 0.9967597648350941
AVG R2 SCORE: 0.8719915786912186, SYMBOLIC: 0.8711234264033367
AVG R2 SCORE: 0.9975458508191741, SYMBOLIC: 0.9887931464925724
AVG R2 SCORE: 0.9982722177351964, SYMBOLIC: 0.9975186858595476
AVG R2 SCORE: 0.9959286244706183, SYMBOLIC: NaN
AVG R2 SCORE: 0.9970260072772507, SYMBOLIC: 0.9954389636686147
AVG R2 SCORE: 0.9774424200736711, SYMBOLIC: 0.9714634121590453
AVG R2 SCORE: 0.9949674585424738, SYMBOLIC: 0.9942922123327869
AVG R2 SCORE: 0.9961752066738547, SYMBOLIC: 0.9957295764110891
AVG R2 SCORE: 0.9975812986966149, SYMBOLIC: 0.9952328780263494
AVG R2 SCORE: 0.9967326977386469, SYMBOLIC: 0.9832316255318071
AVG R2 SCORE: 0.9937125824839663, SYMBOLIC: 0.993866964517827
AVG R2 SCORE: 0.9968292287849382, SYMBOLIC: 0.9968485470678135
AVG R2 SCORE: 0.9964222411141382, SYMBOLIC: 0.99656304396856
AVG R2 SCORE: 0.9975026687030182, SYMBOLIC: 0.9971242834695941
AVG R2 SCORE: 0.9973819646765875, SYMBOLIC: 0.996926090684751
AVG R2 SCORE: 0.998526788323681, SYMBOLIC: 0.9959045690947494
AVG R2 SCORE: 0.9943741494780267, SYMBOLIC: 0.9954797686691775
AVG R2 SCORE: 0.9953358695307675, SYMBOLIC: 0.9940873442456161
AVG R2 SCORE: 0.997963642469596, SYMBOLIC: 0.9934320672255893
AVG R2 SCORE: 0.9976124494268599, SYMBOLIC: 0.9968187921649222
AVG R2 SCORE: 0.9915271326098142, SYMBOLIC: 0.9920483202503251
AVG R2 SCORE: 0.9951002088606542, SYMBOLIC: 0.9953371293229465
AVG R2 SCORE: 0.9962258678405714, SYMBOLIC: 0.9950949437620827
AVG R2 SCORE: 0.9700555084668625, SYMBOLIC: 0.9696436245063532
AVG R2 SCORE: 0.9955104977622568, SYMBOLIC: 0.9943954816120835
AVG R2 SCORE: 0.9952715616442757, SYMBOLIC: 0.9891328999349402
AVG R2 SCORE: 0.9956843948188804, SYMBOLIC: 0.9949467782926649
AVG R2 SCORE: 0.9983390028527274, SYMBOLIC: 0.993615424868718
AVG R2 SCORE: 0.5146680095468898, SYMBOLIC: 0.517195843166051
AVG R2 SCORE: 0.9973974888180663, SYMBOLIC: 0.9969986312097269
AVG R2 SCORE: 0.9961286573380485, SYMBOLIC: 0.9941724747386194
AVG R2 SCORE: 0.9978141818326315, SYMBOLIC: 0.996966615287534
AVG R2 SCORE: NaN, SYMBOLIC: NaN
