AVG R2 SCORE: 0.7154938793542607, SYMBOLIC: 0.7052113121551628
AVG R2 SCORE: 0.8609177412742595, SYMBOLIC: 0.8771043052832971
AVG R2 SCORE: -2.6953007987047766, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.8844999142934822, SYMBOLIC: 0.8966252172867769
AVG R2 SCORE: -3.774020933297045, SYMBOLIC: -3.740177921611803
AVG R2 SCORE: 0.7537633321605789, SYMBOLIC: 0.7560170667632866
AVG R2 SCORE: -0.15053229811924956, SYMBOLIC: -0.14288881758472594
AVG R2 SCORE: 0.07898053385002612, SYMBOLIC: 0.0778726314463345
AVG R2 SCORE: 0.9558527642218919, SYMBOLIC: 0.9126067664780633
AVG R2 SCORE: 0.9890316289795903, SYMBOLIC: 0.9834662450782751
AVG R2 SCORE: 0.9694540102870685, SYMBOLIC: 0.9689819072036603
AVG R2 SCORE: 0.30516423784669267, SYMBOLIC: 0.27936447869394143
AVG R2 SCORE: -0.007513384944176749, SYMBOLIC: -0.007521154326949109
AVG R2 SCORE: 0.9516107182650091, SYMBOLIC: 0.9520887433878888
AVG R2 SCORE: 0.9652632903508619, SYMBOLIC: 0.9651305090751173
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.4141668185034137, SYMBOLIC: NaN
AVG R2 SCORE: 0.9779937088380487, SYMBOLIC: 0.9772513461289413
AVG R2 SCORE: 0.5220597479279256, SYMBOLIC: 0.5256374929050028
AVG R2 SCORE: 0.9748228836459062, SYMBOLIC: 0.9726802130029442
AVG R2 SCORE: 0.9780764858403443, SYMBOLIC: 0.9766482467489969
AVG R2 SCORE: 0.9844287127194955, SYMBOLIC: 0.9813708058223535
AVG R2 SCORE: 0.9670540466537223, SYMBOLIC: 0.9608925253165337
AVG R2 SCORE: 0.9792822997153874, SYMBOLIC: 0.9677877759624993
AVG R2 SCORE: 0.9879984098472958, SYMBOLIC: 0.9845243582931049
AVG R2 SCORE: 0.9622769778067131, SYMBOLIC: 0.9622174884247016
AVG R2 SCORE: 0.9858510234378186, SYMBOLIC: 0.9843612193337068
AVG R2 SCORE: 0.9861522600912458, SYMBOLIC: 0.9829788306278024
AVG R2 SCORE: -3.3779999545999964, SYMBOLIC: -3.2608124937726517
AVG R2 SCORE: 0.979751578854532, SYMBOLIC: 0.9794281517486223
AVG R2 SCORE: 0.9849049448077265, SYMBOLIC: 0.9839476902928559
AVG R2 SCORE: 0.005866717980761965, SYMBOLIC: 0.0032277829494125887
AVG R2 SCORE: -0.015504027721868763, SYMBOLIC: NaN
AVG R2 SCORE: -0.0056811237948460325, SYMBOLIC: -0.005810852236102754
AVG R2 SCORE: 0.21947448196760247, SYMBOLIC: NaN
AVG R2 SCORE: 0.9702887903329789, SYMBOLIC: 0.9699311919536386
AVG R2 SCORE: -0.29531915877342246, SYMBOLIC: -0.2939672959951173
AVG R2 SCORE: -0.0022365203033879455, SYMBOLIC: -0.0026950325912046824
AVG R2 SCORE: 0.011862563516650021, SYMBOLIC: 0.011242542502126307
AVG R2 SCORE: -2.6479695887087304, SYMBOLIC: NaN
AVG R2 SCORE: -0.01115511647484388, SYMBOLIC: -0.011461526122228893
AVG R2 SCORE: -0.7349447343099627, SYMBOLIC: -0.7333360216032903
AVG R2 SCORE: 0.8303913633577618, SYMBOLIC: 0.741967849766679
AVG R2 SCORE: -0.0031150394630927725, SYMBOLIC: -0.001853555381850308
AVG R2 SCORE: -2.6500175907745387, SYMBOLIC: NaN
AVG R2 SCORE: 0.9587350518090811, SYMBOLIC: 0.9392621667090042
AVG R2 SCORE: 0.0005657910748234907, SYMBOLIC: -0.0004928867969262452
AVG R2 SCORE: 0.4295091008629135, SYMBOLIC: 0.4306308906311516
AVG R2 SCORE: -0.015394566940851617, SYMBOLIC: -0.015866641094725686
AVG R2 SCORE: 0.7419546396336631, SYMBOLIC: 0.6143229565638849
AVG R2 SCORE: -0.002877606589109849, SYMBOLIC: -0.0032066848101944267
AVG R2 SCORE: -0.7829781086912864, SYMBOLIC: -0.6483484243533875
AVG R2 SCORE: 0.44678057610443833, SYMBOLIC: 0.44477341405163595
