D (m),L (m),P (kPa),G (kg m-2s-1),Tin (C),Xe (-),CHF (kW m-2)
0.010159163260149272,2.9875562128945936,19991.03516696464,520.754066054736,260.23899250657524,0.33661882714782687,377.05549840747983
0.009616416593621122,5.484649419731316,7077.35164430598,2741.1537449255975,231.17428977826359,0.41297613594026217,956.9291368687022
0.007586019720196872,0.7668424718157613,14253.341475932519,4036.7002524914546,292.86863574748486,0.024898403112958472,3091.1935801433015
0.005740850389495635,2.0040516922812754,15019.371028749325,3384.8033713472655,177.99033002243593,0.07434120483615447,2377.49798123392
0.005705308676347152,0.9912491875062017,11547.717907205468,1582.2969499573671,299.57864645238124,0.3272748111803872,1229.6116168357148
0.00959521191738866,0.9660152715361369,2464.0875084704826,1672.588997084568,122.82110270698858,0.26984865531356367,4274.864878997028
0.010762529956506211,2.972900667396964,14994.059699134052,1941.154872716347,336.3665598400311,0.3084823863691836,595.0717351766747
0.00940479033771744,3.1503342595353527,1657.6265104722552,277.2529322174024,143.4550051642704,1.0144351059040806,501.63394094386115
0.007798587794426567,1.5554360970974077,14846.087173248972,1647.855432455687,165.86093677766183,0.07955441845600685,1888.1798338729868
0.014461707019163697,5.42509410266199,4214.783163471355,666.5569171635301,188.49909454955787,0.798570773793629,771.768722593773
0.005155293527642788,2.7199668521843456,17641.019364479547,3111.7130162143117,141.57428494269834,0.20185744380085757,1748.5543026102212
0.007997610320452214,0.7871609662874111,13832.885837986625,1586.4755198537048,324.6007082040014,0.1608278704867058,1240.4093857492562
0.00778644663146737,5.909683732154784,18494.31714355912,4062.9799301848147,341.7509052211346,0.4995758273127532,641.8638889474823
0.004044203244383828,0.9789384071836794,4951.840848145936,3414.357989927852,49.64999006230497,0.23708764795330523,4509.0388386319855
0.012901978907720633,0.9532438905587958,2197.551724409829,737.5733383168283,121.03268325321825,0.502604816190526,3452.2149959869184
0.005920910925370952,4.226342308145264,11821.591052367074,5030.5707465146415,198.23627256366734,0.15361720875718768,1494.8100572698393
0.006080967921230261,0.8483788380659012,9743.44587635435,5049.268287031123,231.20897882705165,0.008684456929842726,4083.3559341511586
0.005910385187867888,2.047461916822583,11439.168105948416,5240.639577690929,287.0959570944346,0.20962677683968567,1515.4448369970537
0.0075876201781243414,0.2457527670279792,13761.016501870074,1959.9425034492629,171.03525981206073,-0.34671168367848654,6217.336566513529
0.00822522503837354,2.917251818918958,7304.556264410673,2931.0696075317064,184.47028804129107,0.33805382045195975,1897.2559188987532
0.008054590384304991,1.6315664237267025,13991.099893558498,5000.545525354434,314.59375039157766,0.1361194732583915,2048.0701751388697
0.007106858631895291,3.8595013384803263,17807.25338447697,6742.288944635438,272.32124164270874,0.11363351396890686,2060.255731931742
0.008080425315333673,2.935708372377627,10359.097438629902,1014.2149876273536,175.167634200945,0.5679710108002713,878.5373926533282
0.0039306721463511305,0.8267715360288075,14347.83289291139,4121.778543212583,314.01096780323684,0.1680445359871729,1943.6460688530185
0.005965756522684682,0.9773879150692754,6910.533426489764,730.7662954659718,87.48716853304431,0.8546584371208463,2460.2537665109576
0.010248154974710807,1.0003900567563373,3295.707818469884,479.165122486382,75.5284823870886,0.7722276754881763,2449.353177095084
